9782253160793;Mémoires d'outre-tombe, tome 1 ;François-René de Chateaubriand|Jean-Claude Berchet;fr;Quand vers 1830 Chateaubriand revient aux Mémoires de ma vie entrepris depuis plus de vingt ans, il les juge trop intimes et réoriente son projet. A travers le récit de sa propre existence, les Mémoires d'outre-tombe seront également l'épopée de ce temps qu'il a vécu et comme témoin et comme acteur. Au-delà de ce qu'il fut lui-mème, son destin deviendra ainsi exemplaire de celui d'une génération qui connut à la fois l'effondrement de l'ancien monde et le commencement du nouveau, issu de la Révolution.La première partie de ces Mémoires traversés par l'Histoire, où la mélancolie dit la difficulté à croire en la réalité du monde, où la vanité des choses toujours transparaît, est la plus personnelle. Car l'écrivain n'y retrace pas seulement ce qu'il appelait sa première carrière de soldat et de voyageur, mais le commencement d'une vie qui se découvre à nous comme un récit de formation: celui du jeune chevalier breton bientôt parti pour l'Amérique et de l'aristocrate qui combat dans l'armée des Princes, émigre en Angleterre, avant de revenir en France pour y devenir Chateaubriand.Edition de Jean-Claude Berchet, comprenant également les Mémoires de ma vie, les pièces retranchées des Mémoires d'outre-tombe, ainsi que la préface de 1826 et la préface testamentaire.;800;Garnier;November 2, 2001;https://covers.openlibrary.org/b/id/977792-L.jpg;Fiction / General;openlibrary+google
9780394309750;Man's Fate (La Condition Humaine);André Malraux;en;As explosive and immediate today as when it was originally published in 1933, Man's Fate (La Condition Humaine), an account of a crucial episode in the early days of the Chinese Revolution, foreshadows the contemporary world and brings to life the profound meaning of the revolutionary impulse for the individuals involved. As a study of conspiracy and conspirators, of men caught in the desperate clash of ideologies, betrayal, expediency, and free will, Andre Malraux's novel remains unequaled.;338;Modern Library;January 1, 1961;https://books.google.com/books/content?id=_gySAAAAIAAJ&printsec=frontcover&img=1&zoom=6&imgtk=AFLRE71jBxXrg5VOl9hVUpsGp-STXwy-8_qkbZ5qnNDWN4OAEeLe8_8KlwJQVRApaPxzB3TCpHL4vLYicRI0TYnHYpOyVjeqmJmtEvMmGQnhWWqdD18BbMCPNJHEG17BIjOAFXsOncBE&source=gbs_api;Fiction|History|Ficción|French fiction|Historia|Communism|Translations into English|Continental european fiction (fictional works by one author)|Fiction, historical, general|China, fiction|1912-1937|French language|French language materials|EXPEDICIONES DEL NORTE, 1926-1928|NOVELA|NOVELAS FRANCESAS|Fiction, historical|French language books|Humanism|Malraux, André, 1901-1976. La condition humaine;openlibrary+google
9782070385645;Les métamorphoses;Ovid;fr;"Légende dorée, légende des siècles, bible ou génie du paganisme, voici une œuvre qui, en douze mille vers, conte deux cent trente et une histoires de métamorphoses ; elles remontent, pour beaucoup, à l'origine du monde. Ovide, dans ces poèmes épiques et didactiques, nous a donné, des origines à Jules César, un des grands textes sur la genèse de l'humanité. La variété des styles, de l'horreur et du fantastique à l'élégie amoureuse, enchante le lecteur autant que Les Mille et Une Nuits. La grandeur de la Rome impériale, de l'Empire d'Occident s'y reflète. Les Métamorphoses sont l'une des sources principales de la littérature et des arts occidentaux. Comme les fontaines de Rome d'où l'eau ne cesse de jaillir, Les Métamorphoses sont à la fois un monument, et une source de la culture européenne. --";620;Gallimard;September 25, 1992;https://covers.openlibrary.org/b/id/967970-L.jpg;"Poetry|Classical Mythology|Metamorphosis|Mythology|Latin Fables|Translations into English|Translations into Italian|Translations into French|Latin literature|Latin Love poetry|Illustrations|Translations into German|Latin language|Latin Epistolary poetry|English literature|Medieval and modern Latin literature|Latin American literature|Latin Didactic poetry|Latin Elegiac poetry|Readers|Translations|Latin poetry|Early works to 1800|Seduction|Incantations|Latin Poets|Care and hygiene|Problems, exercises|Separation (Psychology)|Latin Erotic poetry|Exiles|Aeneas (Legendary character)|Translating into French|Skin|Knowledge|Fasts and feasts|European literature|Correspondence|Literature|Translations into Danish|Homes and haunts|German poetry|Translations from Latin|English poetry|Translations into Spanish|Comparative Literature|Baroque Painting|Translations into Russian|Themes, motives|Influence|Roman influences|Sources|Calendar|Miniature books|Roman Calendar|Latin language materials|German language materials|Church architecture|Cathedrals|Poetry (poetic works by one author)|Metamorphosis, mythology|Mythology, classical|Ovid, 43 b.c.-17 a.d. or 18 a.d.|Latin poetry, translations into english|Latin poetry, history and criticism|Fiction (fictional works by one author)|FICTION|Classics|Latin literature, translations into english|Fables|Kommentar|Rome, religion|Epic poetry|Poetry, collections|Mythologie ancienne|Poésie|Ancient & Classical|Classical texts|Klassieke oudheid|Fiction, general|Fables, latin|Fables, latin--translations into english|Metamorphosis--mythology|Metamorphosis--mythology--poetry|Mythology, classical--poetry|Pa6522.m2 r33 2004|871.01|Pa6519 .m2 2004|Antiques &amp; collectibles|General|Pa6522.m2 m44 2010|873/.01|Metamorphosis--poetry|Pa6519.m6 a13 2000|Pa6522 .a2 1997|Fables, latin--translations into spanish|Pa6526.m2 r84 1982|Literary criticism|Romans|Free will and determinism|Latin Narrative poetry|Translations into English (Middle)|Diaries|Friends and associates|Clergy|Biography|Church of England|Germanic literature";openlibrary+google
9782070370436;La Valse Aux Adieux;Milan Kundera;fr;"Dans une ville d'eaux au charme suranné, huit personnages s'étreignent au gré d'une valse qui va s'accélérant : une jolie infirmière ; un gynécologue fantaisiste ; un richard américain (à la fois saint et don Juan) ; un trompettiste célèbre ; un ancien détenu, victime des purges et sur le point de quitter son pays... Un "" songe d'une nuit d'été "". Un "" Vaudeville noir "". Les questions les plus graves y sont posées avec une blasphématoire légèreté qui nous fait comprendre que le monde moderne nous a privés même du droit au tragique.";353;Gallimard;November 1991;https://covers.openlibrary.org/b/id/967473-L.jpg;Health resorts|Fiction|Continental european fiction (fictional works by one author)|Fiction, general|Fiction, erotica, general|Badeort|Liebesbeziehung|Czech fiction|Translations into English|English fiction|Translations from Czech|Social life and customs|Novela checa|Manners and customs|Czech republic, fiction;openlibrary+google
9782848054568;Sa préférée;Sarah Jollien-Fardel;fr;« Dans ce village haut perché des montagnes valaisannes, tout se sait, et personne ne dit rien. Jeanne, la narratrice, apprend tôt à esquiver la brutalité perverse de son père. Si sa mère et sa soeur se résignent aux coups et à la déferlante des mots orduriers, elle lui tient tête. Un jour, pour une réponse péremptoire prononcée avec l'assurance de ses huit ans, il la tabasse. Convaincue que le médecin du village, appelé à son chevet, va mettre fin au cauchemar, elle est sidérée par son silence. Dès lors, la haine de son père et le dégoût face à tant de lâcheté vont servir de viatique à Jeanne. A l'Ecole normale d'instituteurs de Sion, elle vit cinq années de répit. Mais le suicide de sa soeur agit comme une insoutenable réplique de la violence fondatrice. Réfugiée à Lausanne, la jeune femme, que le moindre bruit fait toujours sursauter, trouve enfin une forme d'apaisement. Le plaisir de nager dans le lac Léman est le seul qu'elle s'accorde. Habitée par sa rage d'oublier et de vivre, elle se laisse pourtant approcher par un cercle d'êtres bienveillants que sa sauvagerie n'effraie pas, s'essayant même à une vie amoureuse. Dans une langue âpre, syncopée, Sarah Jollien-Fardel dit avec force le prix à payer pour cette émancipation à marche forcée. Car le passé inlassablement s'invite. Sa préférée est un roman puissant sur l'appartenance à une terre natale, où Jeanne n'aura de cesse de revenir, aimantée par son amour pour sa mère et la culpabilité de n'avoir su la protéger de son destin. »--Page 4 de la couverture.;200;Sabine Wespieser éditeur;Aug 25, 2022;https://covers.openlibrary.org/b/id/14703812-L.jpg;;openlibrary+google
9782070360024;L’étranger;Albert Camus;fr;Condamné à mort, Meursault. Sur une plage algérienne, il a tué un Arabe. À cause du soleil, dira-t-il, parce qu'il faisait chaud. On n'en tirera rien d'autre. Rien ne le fera plus réagir: ni l'annonce de sa condamnation, ni la mort de sa mère, ni les paroles du prêtre avant la fin. Comme si, sur cette plage, il avait soudain eu la révélation de l'universelle équivalence du tout et du rien. La conscience de n'être sur la terre qu'en sursis, d'une mort qui, quoi qu'il arrive, arrivera, sans espoir de salut. Et comment être autre chose qu'indifférent à tout après ça? Étranger sur la terre, étranger à lui-même, Meursault le bien nommé pose les questions qui deviendront un leitmotiv dans l'oeuvre de Camus.;194;Gallimard;07-01-1972;https://books.google.com/books/content?id=o1goAQAAIAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71Gw-oIW2Fma6ddvWi-oHZxGHS-Zd76FmwQwECtGUIlMFUbUNG3K2WwYYoip1mYH0av4dg9vKudEbkvAkynrLUk7eAlIyvXSLaETaqJnmoq5ZcxdfyxAHDV_J2-dVYtqRhn5QzP&source=gbs_api;Philosophical Novels|Murder|Fiction|Medicine in Literature|French|Novelas francesas|Asesinato|Ficción|Relatos de aventuras|Critique et interprétation|Social conditions|Camus, Albert, 1913-1960. L'étranger|Criticism and interpretation|French language materials|Algeria, fiction|Fiction, general|Homicide|Adventure stories|Action and adventure fiction|Continental european fiction (fictional works by one author)|Trials (Murder)|Young men|History|Fictional Works Publication Type|Nobel Prize for Literature laureate|Literary|Translations into English|Psychological|Fictional Works [Publication Type]|Fictional Works|Classics|French fiction|Fiction, psychological|Large type books|Argelia|Novela|Relatos de aventura|Social Marginality|Romance literature|Death|Happiness|Life|French language|Murder in fiction|Algeria in fiction|Angestellter|Mord|Todesstrafe|Étranger (Camus, Albert)|Comics & graphic novels, literary|Novela francesa|Français|Romans, nouvelles|England, fiction|French Philosophy|Murder--fiction|World literature|Fiction subjects|Peoples & cultures - fiction|Translations into Persian;openlibrary+google
9782253940920;Tant que le café est encore chaud;川口俊和|Toshikazu Kawaguchi;fr;Tant que le café est encore chaud . Dans une ruelle de Tokyo se trouve le café Funiculi Funicula, un petit établissement au sujet duquel circulent mille légendes. On raconte notamment qu'en y dégustant un délicieux café on peut retourner dans le passé. Mais ce voyage comporte des règles : il ne peut pas changer le présent et dure seulement tant que le café est encore chaud. Quatre femmes vont connaître cette singulière expérience.. Vendu à plus d'un million d'exemplaires au Japon, traduit dans plus de trente pays, le livre de Toshikazu Kawaguchi a touché les lecteurs du monde entier.;240;LGF/Le Livre de Poche;Sep 14, 2022;https://covers.openlibrary.org/b/id/13125640-L.jpg;;openlibrary+google
9782080704764;Sodome et Gomorrhe;Marcel Proust;fr;Sodome et Gomorrhe est le quatrieme volet d'A la recherche du temps perdu de Marcel Proust publie en 2 tomes entre 1922 et 1923 chez Gallimard. Dans ce roman, le jeune narrateur decouvre par hasard que Charlus est homosexuel, lorsqu'il assiste en temoin auditif a ses ebats avec Jupien.;376;Flammarion;1987;;Fiction|Social life and customs|Vida social y costumbres|Villages|Obsessive-compulsive disorder|Social conditions|Ficción|Novela autobiográfica|Continental european fiction (fictional works by one author)|Fiction, general|France, fiction|Manners and customs|Translations into Russian|Homosexuality|French literature|Translations into English|English literature|Translations from French|Fiction, psychological;openlibrary+google
9782742758333;La nuit de l'oracle;Paul Auster;fr;Analyse : Roman psychologique (intime).;237;Actes Sud;2004;https://covers.openlibrary.org/b/id/8359985-L.jpg;Notebooks|Novelists|Fiction|Authorship|Large type books|American fiction (fictional works by one author)|Man-woman relationships, fiction|Authors, fiction|New york (n.y.), fiction|Fiction, psychological|American Novelists|American literature|FICTION / Psychological|PHILOSOPHY / Epistemology|Schriftsteller|Roman|Literaturproduktion|Krise|Inspiration|Amerikanisch|Men|Psychology|Psychological fiction;openlibrary+google
9782352872719;La chartreuse de Parme;Stendhal;fr;Salué par la critique comme un ''miracle littéraire'', La chartreuse de Parme roman improvisé en 52 jours, est considéré aujourd'hui comme l'un des plus grands romans de la littérature française.La duchesse Gina de Sanseverina est prise d'une passion dévorante non partagée pour son jeune neveu, Fabrice. Parti à Waterloo pour combattre aux côtés de Napoléon, il est désormais considéré comme un traître. Pour épargner Fabrice et arriver à ses fins, Gina devient la maîtresse du Premier ministre Mosca, éperdu d'amour pour elle. Fabrice souhaite quant à lui oublier l'amour interdit de sa tante en enchaînant aventure sur aventure, jusqu'à la rencontre... L'action a pour cadre les enjeux du pouvoir dans les États italiens dominés par l'Autriche.;663;Archipoche;2012;;Fiction / Literary;google
